,SVM,feature,nb,size,tree
0,0.8886793646905111,HALSTEAD_EFFORT,0.5,"(1585, 1)",0.5571784664380205
1,0.8953627715172303,HALSTEAD_PROG_TIME,0.17812510207414664,"(1585, 2)",0.56224052751919
2,0.8730436469051119,HALSTEAD_VOLUME,0.29488036910011434,"(1585, 3)",0.5203460313571778
3,0.8789063775926834,HALSTEAD_LENGTH,0.3216609505144537,"(1585, 4)",0.5209343867385268
4,0.8810411562959333,NUM_OPERATORS,0.32648926179977134,"(1585, 5)",0.5222411399640698
5,0.8840035521803037,NUM_OPERANDS,0.30716621754042134,"(1585, 6)",0.5106489874244653
6,0.8763751429038052,NUMBER_OF_LINES,0.31991854483096516,"(1585, 7)",0.5084986934509226
7,0.8785436060754532,HALSTEAD_CONTENT,0.3401992487342806,"(1585, 8)",0.5250283766127716
8,0.8796719336926344,LOC_TOTAL,0.35462804180957047,"(1585, 9)",0.5272413441123631
9,0.8850247019434917,LOC_CODE_AND_COMMENT,0.32386861015841906,"(1585, 10)",0.5253474603952311
10,0.8795833333333333,PERCENT_COMMENTS,0.45635983178180634,"(1585, 11)",0.5279762779683161
11,0.8804007430997878,LOC_COMMENTS,0.48275559366323695,"(1585, 12)",0.5249340601012575
12,0.8828080597746203,NUM_UNIQUE_OPERANDS,0.4246402907071697,"(1585, 13)",0.5503795116772824
13,0.8801359627633513,EDGE_COUNT,0.47227441613588106,"(1585, 14)",0.5284207088028744
14,0.8794559447983016,HALSTEAD_DIFFICULTY,0.4625647150089825,"(1585, 15)",0.5205058794708476
15,0.8813824922423649,NODE_COUNT,0.48310509554140124,"(1585, 16)",0.5455691654417769
16,0.8790035521803038,CONDITION_COUNT,0.4795006532745386,"(1585, 17)",0.5381981871631554
17,0.8760033888616692,NUM_UNIQUE_OPERATORS,0.4657349338559529,"(1585, 18)",0.5357929119712559
18,0.8818973542381187,BRANCH_COUNT,0.4856242854809733,"(1585, 19)",0.5483263922913604
19,0.8852564102564102,CALL_PAIRS,0.46153580761064833,"(1585, 20)",0.5531020333170015
20,0.8847929936305732,MULTIPLE_CONDITION_COUNT,0.4764829332026784,"(1585, 21)",0.547719867711906
21,0.8846033398660786,DECISION_COUNT,0.48507920953780825,"(1585, 22)",0.5228807365670424
22,0.8888739180140455,PARAMETER_COUNT,0.4699550873754695,"(1585, 23)",0.5530060836191409
23,0.8857986281234688,DESIGN_COMPLEXITY,0.4859797076596439,"(1585, 24)",0.5352837661277151
24,0.8899808100604278,MODIFIED_CONDITION_COUNT,0.45330148619957533,"(1585, 25)",0.5456983913114487
25,0.8859203005062879,LOC_EXECUTABLE,0.47152437530622243,"(1585, 26)",0.543196758125102
26,0.890862526539278,CYCLOMATIC_COMPLEXITY,0.4580924383472154,"(1585, 27)",0.5500918667319941
27,0.8920731259186672,HALSTEAD_ERROR_EST,0.49558896782622897,"(1585, 28)",0.5284844030703904
28,0.8955434427568185,CYCLOMATIC_DENSITY,0.49910338069573734,"(1585, 29)",0.5375600195982362
29,0.8905091458435408,NORMALIZED_CYLOMATIC_COMPLEXITY,0.5227500816593174,"(1585, 30)",0.5403466438020578
30,0.8931210191082803,DESIGN_DENSITY,0.482651682181937,"(1585, 31)",0.5443589743589743
31,0.8950032663726931,MAINTENANCE_SEVERITY,0.47767250530785554,"(1585, 32)",0.5319238935162504
32,0.8937781724644782,HALSTEAD_LEVEL,0.46861485382982204,"(1585, 33)",0.5274322227666176
33,0.8954442266862648,ESSENTIAL_COMPLEXITY,0.4744189939572105,"(1585, 34)",0.5397733953944145
34,0.89546913277805,DECISION_DENSITY,0.4707128858402744,"(1585, 35)",0.544869957537155
35,0.8920782296260004,ESSENTIAL_DENSITY,0.48960068593826545,"(1585, 36)",0.5743279438183897
