,SVM,feature,nb,size,tree
0,0.5295208333333334,HALSTEAD_EFFORT,0.5,"(127, 1)",0.59175
1,0.523625,HALSTEAD_PROG_TIME,0.6541597222222222,"(127, 2)",0.5857361111111111
2,0.5313888888888888,HALSTEAD_VOLUME,0.5918402777777778,"(127, 3)",0.5405555555555555
3,0.5314583333333334,HALSTEAD_LENGTH,0.5919861111111111,"(127, 4)",0.5386388888888889
4,0.5324305555555554,NUM_OPERATORS,0.6020069444444445,"(127, 5)",0.5599861111111112
5,0.5336111111111111,NUM_OPERANDS,0.602111111111111,"(127, 6)",0.5724444444444444
6,0.5325694444444444,NUMBER_OF_LINES,0.5886597222222222,"(127, 7)",0.5451805555555554
7,0.5435416666666666,HALSTEAD_CONTENT,0.5946562499999999,"(127, 8)",0.5348472222222223
8,0.5409027777777778,EDGE_COUNT,0.5915833333333332,"(127, 9)",0.5519999999999999
9,0.5448854166666667,CONDITION_COUNT,0.5888437499999999,"(127, 10)",0.5553888888888888
10,0.5492048611111112,LOC_TOTAL,0.5815277777777779,"(127, 11)",0.5638333333333334
11,0.5640937500000002,LOC_EXECUTABLE,0.5806840277777778,"(127, 12)",0.5457638888888888
12,0.5622777777777779,HALSTEAD_DIFFICULTY,0.5852847222222224,"(127, 13)",0.565125
13,0.5565034722222222,NODE_COUNT,0.5858645833333334,"(127, 14)",0.5525
14,0.5529166666666667,PERCENT_COMMENTS,0.5882048611111111,"(127, 15)",0.5457638888888889
15,0.5547916666666666,BRANCH_COUNT,0.5803645833333333,"(127, 16)",0.5683888888888889
16,0.5520138888888889,NUM_UNIQUE_OPERANDS,0.5774444444444444,"(127, 17)",0.5637222222222223
17,0.559861111111111,LOC_COMMENTS,0.5794861111111111,"(127, 18)",0.5729583333333333
18,0.5569479166666667,MULTIPLE_CONDITION_COUNT,0.5758368055555556,"(127, 19)",0.5833055555555556
19,0.5510694444444444,LOC_BLANK,0.5826701388888889,"(127, 20)",0.5730833333333333
20,0.5533055555555555,DECISION_COUNT,0.5830624999999999,"(127, 21)",0.5801944444444445
21,0.5527708333333334,NUM_UNIQUE_OPERATORS,0.5757916666666667,"(127, 22)",0.5532083333333333
22,0.555017361111111,CYCLOMATIC_COMPLEXITY,0.5749236111111111,"(127, 23)",0.5805138888888889
23,0.5537986111111112,MODIFIED_CONDITION_COUNT,0.5725451388888889,"(127, 24)",0.5917777777777778
24,0.5504722222222223,GLOBAL_DATA_COMPLEXITY,0.5785104166666668,"(127, 25)",0.573138888888889
25,0.5519236111111111,CALL_PAIRS,0.5711111111111111,"(127, 26)",0.5703611111111111
26,0.5506527777777777,DESIGN_COMPLEXITY,0.5691840277777778,"(127, 27)",0.5834027777777778
27,0.5596423611111111,HALSTEAD_ERROR_EST,0.5692847222222222,"(127, 28)",0.5881527777777777
28,0.5603923611111112,ESSENTIAL_COMPLEXITY,0.5599201388888889,"(127, 29)",0.5782916666666666
29,0.5519131944444444,DESIGN_DENSITY,0.5724513888888889,"(127, 30)",0.5925
30,0.5450833333333334,LOC_CODE_AND_COMMENT,0.5740868055555556,"(127, 31)",0.6013333333333334
31,0.5524618055555555,MAINTENANCE_SEVERITY,0.5685555555555556,"(127, 32)",0.6037361111111111
32,0.5497534722222224,CYCLOMATIC_DENSITY,0.5821736111111111,"(127, 33)",0.6107777777777778
33,0.5501180555555555,NORMALIZED_CYLOMATIC_COMPLEXITY,0.56525,"(127, 34)",0.5953055555555556
34,0.5412534722222222,GLOBAL_DATA_DENSITY,0.5763541666666666,"(127, 35)",0.6180277777777777
35,0.5341805555555557,PARAMETER_COUNT,0.5653506944444444,"(127, 36)",0.6035138888888889
36,0.5418715277777777,ESSENTIAL_DENSITY,0.5726354166666666,"(127, 37)",0.6240416666666667
37,0.5388055555555555,DECISION_DENSITY,0.5710694444444444,"(127, 38)",0.6139722222222221
38,0.5419166666666667,HALSTEAD_LEVEL,0.5729375,"(127, 39)",0.5934166666666666
