,SVM,feature,nb,size,tree
0,0.6391885402701665,HALSTEAD_EFFORT,0.5,"(1399, 1)",0.5469445359111258
1,0.6164940037057073,HALSTEAD_VOLUME,0.41351569938473415,"(1399, 2)",0.5502234443913068
2,0.6258848040304575,HALSTEAD_PROG_TIME,0.4179129361327365,"(1399, 3)",0.5506563322383465
3,0.634750325360052,HALSTEAD_LENGTH,0.41148595245997466,"(1399, 4)",0.5588183484776026
4,0.6312475652440549,NUM_OPERATORS,0.4038104964985683,"(1399, 5)",0.5493346082046484
5,0.6238112630764688,NUM_OPERANDS,0.4076733435166238,"(1399, 6)",0.5581539040157357
6,0.6310788908837336,HALSTEAD_CONTENT,0.42109761324228473,"(1399, 7)",0.5537143421498504
7,0.6544216931963598,PERCENT_COMMENTS,0.4051739739833914,"(1399, 8)",0.6253856605505945
8,0.6536711633429417,NUMBER_OF_LINES,0.40402749575551045,"(1399, 9)",0.6253611910355683
9,0.6543319883375626,LOC_TOTAL,0.3936294120695948,"(1399, 10)",0.6551261183979566
10,0.6535916875080033,HALSTEAD_DIFFICULTY,0.39775260701819487,"(1399, 11)",0.6454876415446893
11,0.6586603005856482,LOC_EXECUTABLE,0.3958489697802796,"(1399, 12)",0.6457272287163567
12,0.6614922037720858,NUM_UNIQUE_OPERANDS,0.40220538146397206,"(1399, 13)",0.6459841335796837
13,0.6592853719078817,LOC_BLANK,0.3995303871915286,"(1399, 14)",0.6365031819516204
14,0.6590744660741368,EDGE_COUNT,0.4171740486811812,"(1399, 15)",0.6246771280594516
15,0.6635410650554593,LOC_CODE_AND_COMMENT,0.4402121341006081,"(1399, 16)",0.7206251584333587
16,0.6649666124835468,NODE_COUNT,0.4588533551720924,"(1399, 17)",0.716686011869762
17,0.6629662786301601,LOC_COMMENTS,0.45372392872916195,"(1399, 18)",0.7123777711137766
18,0.6670072526544938,NUM_UNIQUE_OPERATORS,0.4590983399668455,"(1399, 19)",0.7294014932153501
19,0.6648616032889676,CONDITION_COUNT,0.45601418365115826,"(1399, 20)",0.7262559322676159
20,0.6677743227327805,CALL_PAIRS,0.4576697599827172,"(1399, 21)",0.7358269099767499
21,0.6704515176500206,BRANCH_COUNT,0.4656120623645966,"(1399, 22)",0.7299707306619836
22,0.6683904967424796,CYCLOMATIC_DENSITY,0.4641696763560371,"(1399, 23)",0.7365319994006755
23,0.6702072994331678,HALSTEAD_ERROR_EST,0.4648889932044612,"(1399, 24)",0.7376997882764105
24,0.6698725204907144,MULTIPLE_CONDITION_COUNT,0.46275414670733017,"(1399, 25)",0.7454873181446375
25,0.6703799079496742,DECISION_COUNT,0.4647038526637276,"(1399, 26)",0.7396767970371764
26,0.6733275055990675,NORMALIZED_CYLOMATIC_COMPLEXITY,0.4607639373444522,"(1399, 27)",0.7389129391816258
27,0.6736086469551613,HALSTEAD_LEVEL,0.4569573630242892,"(1399, 28)",0.7367232736535014
28,0.6767435999456426,CYCLOMATIC_COMPLEXITY,0.4627339205929829,"(1399, 29)",0.7319928542744122
29,0.6767367018334278,MODIFIED_CONDITION_COUNT,0.4647532773383021,"(1399, 30)",0.7338840302658893
30,0.6779612131182386,DESIGN_COMPLEXITY,0.468516802429355,"(1399, 31)",0.7411217103572513
31,0.6746701744138947,DESIGN_DENSITY,0.467882889327929,"(1399, 32)",0.7275889709475687
32,0.6752767063109396,PARAMETER_COUNT,0.46892885329528317,"(1399, 33)",0.7442498850133149
33,0.6800315364050459,MAINTENANCE_SEVERITY,0.4700214663589903,"(1399, 34)",0.7344185887736407
34,0.6762472418440032,ESSENTIAL_COMPLEXITY,0.48640101040193945,"(1399, 35)",0.7239564849441488
35,0.6720776101324176,DECISION_DENSITY,0.48159703329996983,"(1399, 36)",0.7414360846075513
36,0.6731061072303104,ESSENTIAL_DENSITY,0.47515334498009076,"(1399, 37)",0.7339957154393144
